Path,Parent,Purpose class,Purpose statement,Location verdict,Evidence,Ref touch,Parent align,Wave,Section
packages/frameworks/workflow-mgt/,packages/frameworks,Framework SoT,"Primary workflow framework: RW/UKW/IPW/IDW validators, installers, registry, KB",Optimal,workflow-mgt/README.md; rw-config scripts_path; FR-110 SoT,High,Consistent,keep,framework-packages
packages/frameworks/kanban/,packages/frameworks,Framework SoT,"Kanban framework: policies, templates, installers, KMA guardrails, scripts",Optimal,kanban/README.md; docs/kanban/AGENTS.md consumer boundary,High,Consistent,keep,framework-packages
packages/frameworks/numbering-versioning/,packages/frameworks,Framework SoT,Portable numbering/versioning policy package for adopters,Optimal,numbering-versioning/README.md; dev-kit-versioning-policy cross-ref,Medium,Consistent,keep,framework-packages
packages/frameworks/doc-lifecycle/,packages/frameworks,Framework SoT,Document lifecycle metadata policy and housekeeping framework,Optimal,doc-lifecycle/README.md; .cursorrules lifecycle frontmatter,Medium,Consistent,keep,framework-packages
packages/frameworks/debug-path/,packages/frameworks,Framework SoT,Debug Path Framework (DPF) and Debug Round Workflow methodology,Optimal,debug-path/README.md; optional adopter bundle,Low,Consistent,keep,framework-packages
packages/frameworks/tooling-automation/,packages/frameworks,Framework SoT,"CQG validators, generators, and maintainer automation helpers",Acceptable,validators/README.md; no package-root README (gap vs other packages),Medium,Consistent,keep (add README in follow-on),framework-packages
packages/frameworks/workflow-mgt/README.md,packages/frameworks,Framework SoT,"Workflow framework package index, registry pointer, adopter install notes",Optimal,FR-110 lean vendor; workflow-registry.yaml,High,Consistent,keep,framework-packages
packages/frameworks/kanban/README.md,packages/frameworks,Framework SoT,Kanban package index with consumer vs framework tree boundary,Optimal,FR-110; install_kanban_framework.py entry,High,Consistent,keep,framework-packages
packages/frameworks/numbering-versioning/README.md,packages/frameworks,Framework SoT,Numbering/versioning policy package index,Optimal,integration/ examples; governance cross-links,Medium,Consistent,keep,framework-packages
packages/frameworks/doc-lifecycle/README.md,packages/frameworks,Framework SoT,Document lifecycle framework index,Optimal,evergreen/timeboxed/transient policy,Medium,Consistent,keep,framework-packages
packages/frameworks/debug-path/README.md,packages/frameworks,Framework SoT,Debug Path Framework index,Optimal,optional DRW methodology bundle,Low,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_branch_context.py,packages/frameworks,Operational,RW Step 1 branch/epic safety gate,Optimal,.cursorrules Step 1; rw-config scripts_path,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_rw_task_complete.py,packages/frameworks,Operational,RW Step 1c task doc releasability gate (FR-060),Optimal,.cursorrules Step 1c,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_rw_task_intent.py,packages/frameworks,Operational,RW Step 1d version/task intent guard (BR-056),Optimal,.cursorrules Step 1d,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_allocator_health.py,packages/frameworks,Operational,RW Step 1e SAA allocator preflight (FR-122),Optimal,.cursorrules Step 1e; ADR-027,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_git_tag_occupancy.py,packages/frameworks,Operational,RW Step 1f predicted tag namespace gate (FR-122),Optimal,.cursorrules Step 1f,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_version_bump.py,packages/frameworks,Operational,RW Step 9 version schema and BUILD resolver check,Optimal,.cursorrules Step 9; BR-097,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_changelog_format.py,packages/frameworks,Operational,RW Step 9 changelog structure gate,Optimal,.cursorrules Step 9,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_release_tag_immutability.py,packages/frameworks,Operational,RW Step 9 release tag collision guard (BR-097),Optimal,.cursorrules Step 9,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_changelog_archive_links.py,packages/frameworks,Operational,RW Step 9 archive link advisory,Optimal,.cursorrules Step 9; BR-074,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_board_stamp_diff.py,packages/frameworks,Operational,RW/UKW board row stamp evidence gate (FR-097),Optimal,.cursorrules Step 9; ADR-029,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_kanban_state_icons.py,packages/frameworks,Operational,RW Step 9 MoSCOW state icon gate (UXR-012),Optimal,.cursorrules Step 9,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_active_kanban_board.py,packages/frameworks,Operational,RW/UKW lean active board gate (FR-109),Optimal,.cursorrules Step 9; UKW Step 6,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_semver_registry_injective.py,packages/frameworks,Operational,RW Step 9 task-touch registry injectivity (FR-045),Optimal,rw-config semver_mapping_strategy,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_task_touch_release_contract.py,packages/frameworks,Operational,RW Step 9 task-touch release contract gate,Optimal,.cursorrules Step 9,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_release_coherence.py,packages/frameworks,Operational,RW Step 9 cross-surface coherence gate (FR-122),Optimal,rw-config release_coherence.enabled,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_actions_ci_parity.py,packages/frameworks,Operational,RW Step 9.7 local CI parity gate (FR-112),Optimal,.cursorrules Step 9.7; rw-config,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_rw_tag_authority.py,packages/frameworks,Operational,RW Step 11 pre/post annotated tag authority (FR-122),Optimal,.cursorrules Step 11,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_board_stamps_precommit.py,packages/frameworks,Operational,Pre-commit homogenous stamp batching blocker,Optimal,FR-097; UKW hygiene,High,Consistent,keep,framework-packages
